Company_Name,ticker,gvkey,naics,company_id
SOLARWINDS,SWI,179690,511210,155265
SONIC FOUNDRY,SOFO,109186,511210,155275
SONY,SNE,9818,335,1585
SPARTON,SPA,9922,334419,7376
SPIRENTMMUNICATIONS,SPMYY,100401,334416,20602
SPIRIT AEROSYSTEMS,SPR,164494,336413,29627
SPLUNK,SPLK,170616,511210,127943
SPOK,SPOK,24844,517312,39077
SPRINT,S,10984,517312,32527
SPX,SPXC,5087,333415,145017
SPX FLOW,FLOW,24611,333914,9125
STANDEX,SXI,10008,333415,43595
STANLEY BLACK & DECKER,SWK,10016,333991,6437
STANTEC,STN,29985,541330,155328
STATE STREET,STT,10035,523920,22712
STATE STREET,STT,10035,523920,22712
STEEL DYNAMICS,STLD,64030,331110,21276
STEELCASE,SCS,66290,337214,18291
STEPAN,SCL,10056,325613,137
STERICYCLE,SRCL,63527,562211,141957
STERIS,STE,25313,339112,308
STONERIDGE,SRI,65590,334419,2170
STRATASYS,SSYS,30847,334118,6880
SUNCOKE ENERGY,SXC,186773,324199,43012
SUPERIOR PLUS,SUUIF,65614,454310,140590
SURGEMPONENTS,SPRS,21040,423690,4492
SURMODICS,SRDX,66588,54171,6543
SYKES,SYKE,62732,518210,11547
SYMANTEC,SYMC,15855,511210,2192
