company_name,ticker,naics,gvkey
MOLSON COORS BREWING CO,TAP,312120,3505
CORBY SPIRIT AND WINE LTD,CBYDF,312140,3516
CORNING INC,GLW,334419,3532
CORNING NATURAL GAS HLDG CP,CNIG,221210,3533
COUSINS PROPERTIES INC,CUZ,531120,3562
COUSINS PROPERTIES INC,CUZ,531120,3562
CRACKER BARREL OLD CTRY STOR,CBRL,722511,3570
CRANE CO,CR,332912,3580
CRAWFORD & CO,CRD.A,524291,3581
SPRINGLEAF FINANCE CORP,AGC1,522291,3591
ONEMAIN HOLDINGS INC,OMF,522291,3592
CROWN HOLDINGS INC,CCK,332431,3619
CROWN CRAFTS INC,CRWS,313210,3622
CUBIC CORP,CUB,333318,3639
CULLEN/FROST BANKERS INC,CFR,522110,3643
CULLEN/FROST BANKERS INC,CFR,522110,3643
CULP INC,CULP,313210,3647
CUMMINS INC,CMI,333618,3650
CURTISS-WRIGHT CORP,CW,332912,3662
GT BIOPHARMA INC,GTBP,325412,3691
WENDY'S CO,WEN,722511,3708
DANA INC,DAN,336390,3734
DANAHER CORP,DHR,334516,3735
DATA I/O CORP,DAIO,334515,3761
DAVEY TREE EXPERT CO,7183B,561730,3801
DAWSON GEOPHYSICAL CO,DWSN,213112,3806
TARGET CORP,TGT,452319,3813
DPL INC,AES5,2211,3814
DEERE & CO,DE,333111,3835
DEERE (JOHN) CAPITAL CORP,DE1,522220,3836
DELTA AIR LINES INC,DAL,481111,3851
DELUXE CORP,DLX,3231,3863
DTE ENERGY CO,DTE,2211,3897
ADTALEM GLOBAL EDUCATION INC,ATGE,611310,3905
PYXUS INTERNATIONAL INC,PYX,424940,3937
DIEBOLD NIXDORF INC,DBD,334118,3946
NORTECH SYSTEMS INC,NSYS,334418,3962
DILLARDS INC  -CL A,DDS,452210,3964
DIODES INC,DIOD,334413,3969
DISNEY (WALT) CO,DIS,515120,3980
DIXIE GROUP INC,DXYN,314110,4001
DOLLAR GENERAL CORP,DG,452319,4016
WESTERN FOREST PRODUCTS INC,WFSTF,321113,4019
DOMINION ENERGY INC,D,22111,4029
DONALDSON CO INC,DCI,336390,4036
DONNELLEY (R R) & SONS CO,RRD,32311,4040
DORCHESTER MINERALS  -LP,DMLP,533110,4045
DOVER CORP,DOV,333415,4058
DUPONT DE NEMOURS INC,DD,325211,4060
OMNICOM GROUP,OMC,541810,4066
ASCENA RETAIL GROUP INC,ASNA,448120,4072
DUCOMMUN INC,DCO,336413,4091
DUKE ENERGY CORP,DUK,2211,4093
FLOWSERVE CORP,FLS,333914,4108
DYNATRONICS CORP,DYNT,334510,4124
DYNASIL CORP OF AMERICA,DYSL,333314,4130
PERKINELMER INC,PKI,334516,4145
EASTERN CO,EML,332510,4186
EASTGROUP PROPERTIES,EGP,531120,4193
EASTGROUP PROPERTIES,EGP,531120,4193
EASTMAN KODAK CO,KODK,333316,4194
EATON CORP PLC,ETN,335314,4199
EATON VANCE CORP,EV,523930,4201
EATON VANCE CORP,EV,523930,4201
ECOLAB INC,ECL,325612,4213
EDUCATIONAL DEVELOPMENT CORP,EDUC,424920,4225
EL PASO ELECTRIC CO,EE,22111,4241
ELECTRO SCIENTIFIC INDS INC,ESIO,335999,4274
ELECTRO-SENSORS INC,ELSE,334513,4275
ELECTR TELE-COMMUNCTN,ETCIA,334210,4292
EMERSON ELECTRIC CO,EMR,334513,4321
EMERSON RADIO CORP,MSN,334310,4322
SORL AUTO PARTS INC,SORL,336340,4341
WEATHERFORD INTL PLC,WFTIF,213111,4367
ATMOS ENERGY CORP,ATO,221210,4383
MARATHON PATENT GROUP INC,MARA,518210,4384
ENNIS INC,EBF,323111,4390
ENZON PHARMACEUTICALS INC,ENZN,325414,4409
VISKASE COMPANIES INC,VKSC,326121,4412
