company_name,company_id
TIP PRODUCTS,142933
SILICONIX,1357
LITE-ON,1364
BROADCOM,1366
ABOVE THE REST PAINTING,134688
CABOT MICROELECTRONICS,1368
PANJIT SEMICONDUCTOR,1377
SK HYNIX,1332
COILCRAFT,1372
VISHAY,1375
EVERLIGHT,1376
TERADYNE,1380
SUMCO,1381
MICROSEMI,1382
GUARDTEC,18658
LINEAR TECHNOLOGY,1387
FOXCONN,1378
INTEGRATED DEVICE TECHNOLOGY,1379
LATTICE,1386
LITTELFUSE,1435
MAG LAYERS,1390
MICRON TECHNOLOGY,1391
MOLEX,1393
MONOLITHIC POWER SYSTEMS,1394
NANYA,1397
QCS,1400
POWER & TEL,133590
EXAR,1403
CRESCENT ELECTRIC,142934
ST MICROELECTRONICS,1405
TAIYO YUDEN,1406
TRIPOD TECHNOLOGY CORPORATION,1407
WALSIN TECHNOLOGY,1412
TAITIEN,1413
WUS PRINTED CIRCUITS,1414
YAGEO,1415
BEL FUSE,1418
DELTA ELECTRONICS,1419
ANADIGICS,1421
DAI NIPPON PRINTING,1424
XP POWER,1426
EPCOS,1427
NAN YA PLASTICS,1437
SUNNY ELECTRONICS,1438
BOTHHAND,1439
SEMTECH,1442
ARROW ELECTRONICS,1446
INTERSIL,1448
TDK,1449
SKYWORKS SOLUTIONS,1456
LAIRD TECHNOLOGIES,1460
HIROSE,1462
AMPHENOL,1388
SAMTEC,1402
AVNET,1432
RENESAS ELECTRONICS,1401
SILICON LABORATORIES,1463
AVX,1465
ATC DRIVETRAIN,133620
JI HAW INDUSTRIAL,1510
QUALCOMM,1512
MEGA CHIP,1514
DARFON,1516
BRIGHTKING,1547
ADVANCED POWER ELECTRONICS,1548
SITIME,1549
SUNLORD,1558
SENJU,1566
SILICON STORAGE,1568
PARTNER41,127498
PANASONIC,1570
MARVELL SEMICONDUCTOR,1572
MAXIM INTEGRATED PRODUCTS,1573
COVERT MANUFACTURING,133621
FORMOSA PLASTICS,1577
1072667 ONTARIO,132075
SONY,1585
ANALOG DEVICES,1587
ALPHA & OMEGA SEMICONDUCTOR,1589
COMPEQ,1601
CUI,1602
FLORIDA PRODUCTION,1615
PCTEL,1633
KING CORD,1641
LUMEX,1651
MICRO COMMERCIAL COMPONENTS,1653
METHODE,1655
NIPPON CHEMI-CON,1660
NUVOTON TECHNOLOGY,1661
RF MICRO DEVICES,1664
SILICON MOTION,1668
BI-CMOS FOUNDRY,1698
CELESTICA PARTNER,1703
OM GROUP,1706
P_EMERY OLEOCHEMICALS,134689
NGK SPARK PLUG,1715
THREE BOND,1721
FUJIKURA KASEI,1722
TEKTRONIX,1723
PARA LIGHT,1730
JOHANSON,1732
MWS PRECISION WIRE INDUSTRIES,1735
RICOH,1759
X-FAB,1696
SHINDENGEN ELECTRIC,1762
MELEXIS,1770
MITSUI,1772
KINGPAK,1773
NANTONG HUADA,1778
FLIP,1780
DPA COMPONENTS INT'L,134528
INTERNATIONAL RECTIFIER,1786
PANTRONIX CORPORATION,1790
CENTRAL SEMICONDUCTOR,1791
PHENITEC SEMICONDUCTOR,1792
SOUTHCO,1802
GRUPO ANTOLIN,1804
KIEKERT,1806
MITEX,1829
ATLANTIC TOOL & DIE,1833
BAOSTEEL,1842
FAURECIA,1846
AMERICA GLOBAL LOGISTICS,1851
SUMITOMO CORPORATION,1863
VISTEON,1868
TI FLUID SYSTEMS,1869
STRATTEC,1871
TOYODA GOSEI,1873
STABILUS,1874
YAZAKI CORPORATION,1877
TT ELECTRONICS,1878
VOXX INTERNATIONAL,1880
TRW PARTNER,1892
ARLINGTON INDUSTRIES,1897
REFLEX & ALLEN,1898
GARMIN,1938
SAINT JEAN INDUSTRIES,1943
SANKO GOSEI,1947
FEDERAL MOGUL,1949
POLYTEC GROUP,1951
MAYSER POLYMER,1952
BREMBO,1954
ELRING KLINGER,1955
SAPA,1956
OC OERLIKON,1959
BEHR HELLA THERMOCONTROL,1960
CORPORACION GESTAMP,1963
RECTICEL,1964
GENTEX CORPORATION,1965
EISSMANN AUTOMOTIVE,1966
DENSO INTERNATIONAL,1967
MULTIMATIC,1968
DANA HOLDING,1969
TAKATA,1970
BENTELER,1973
MICHELIN,1975
STANT CORPORATION,1976
DURA AUTOMOTIVE,1977
MUBEA,1978
IEE,1979
PILKINGTON,1980
VALEO,1983
KEY SAFETY,1985
MAHLE BEHR,1986
DELPHI PARTNER,1987
CONTINENTAL AUTOMOTIVE,1988
MITSUBISHI ELECTRIC,1989
ALPINE,1990
NIFCO,1991
HARADA,1992
JTEKT,1993
SANDEN,1994
ZF FRIEDRICHSHAFEN AG,1995
BRIDGESTONE,1996
THYSSENKRUPP,1998
MAGNA,2000
LEAR,2001
KOSTAL,2002
HELLA,2004
GKN,2005
FIAT,2006
BROSE INTERNATIONAL GMBH,2010
BORGWARNER,2012
JOHNSON ELECTRIC,2013
ACCURIDE,2014
ARRK PRODUCT DEVELOPMENT GROUP,2017
EBM,2018
LEONI SPECIAL CABLES,2022
KONGSBERG AUTOMOTIVE,2025
SPARTECH PLASTICS,2084
OXEA,2085
NOVOZYMES,2086
CIENA,2091
SANYO DENKI,2092
TESA TAPE,2093
NSK NAKANISHI SHIKA KIKAI,2094
STYRON,2097
TEKLAS,2100
OGURA,2101
BOLLHOFF,2103
KERN-LIEBERS,2104
KINGSTON,2110
ABC,2111
LISI AUTOMOTIVE,2113
COROPLAST,2116
HITACHI,2117
HP INC,2135
VAISALA,2136
AMATSUJI STEEL,2145
ABB,2148
DOVER,2149
QNX SOFTWARE,2151
HGST,2155
JUNIPER PARTNER,2157
BAUMANN,2160
SO.F.TER.,2161
BROCADE,2162
VMWARE,2164
KOA,2167
STONERIDGE INC,2170
AIC,2171
TIMET,2173
COLT REFINING AND RECYCLING,2174
